Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,^NSEI
2013-01-31,33.65438461303711,403.2140808105469,284.2964782714844,12.23446273803711,144.2928924560547,380.53485107421875,189.453125,249.89927673339844,130.55503845214844,67.41970825195312,565.76025390625,1420.948486328125,80.66773223876953,36.48169708251953,185.6392364501953,210.0341339111328,499.7315673828125,262.8457946777344,1805.6241455078125,65.9769058227539,6034.75
2013-02-28,29.02446937561035,382.7046203613281,253.88641357421875,12.135964393615723,140.3212127685547,355.7251892089844,165.4762420654297,260.4256591796875,125.10203552246094,65.36345672607422,501.89508056640625,1216.78173828125,77.4841537475586,35.062564849853516,170.39697265625,179.26986694335938,563.9942016601562,245.48583984375,1772.8819580078125,66.75440979003906,5693.0498046875
2013-03-31,27.214221954345703,440.4884338378906,245.67947387695312,10.873921394348145,140.3212127685547,374.9145202636719,166.23971557617188,258.84442138671875,131.3189239501953,64.70944213867188,501.3080139160156,1151.06201171875,74.74602508544922,35.56682586669922,161.82318115234375,178.56771850585938,585.8363647460938,241.25167846679688,1773.736083984375,70.08092498779297,5682.5498046875
2013-04-30,29.354211807250977,419.34747314453125,281.9449157714844,11.61409854888916,153.10011291503906,468.733642578125,185.0792694091797,200.26434326171875,139.5515594482422,70.07050323486328,554.8805541992188,1500.01025390625,82.85511016845703,37.71831130981445,165.02659606933594,195.06985473632812,512.465087890625,254.7068634033203,1804.0106201171875,55.84511184692383,5930.2001953125
2013-05-31,28.492834091186523,435.63763427734375,270.2058410644531,13.944967269897461,157.1840057373047,475.71868896484375,186.6892852783203,218.5624237060547,146.49513244628906,77.58692932128906,513.9855346679688,1442.510986328125,81.19644927978516,38.088104248046875,170.85255432128906,179.77859497070312,557.0974731445312,276.2068176269531,1782.609619140625,52.52663040161133,5985.9501953125
2013-06-30,27.73239517211914,418.6068115234375,250.30712890625,13.115288734436035,151.48281860351562,469.8174133300781,173.15396118164062,226.46046447753906,139.7931671142578,71.56686401367188,516.6091918945312,1381.552734375,75.6938247680664,37.41576385498047,182.78237915039062,171.61424255371094,569.46533203125,210.29544067382812,1781.3758544921875,56.76466369628906,5842.2001953125
2013-07-31,24.763198852539062,458.28717041015625,198.22915649414062,10.950472831726074,137.963623046875,496.7436218261719,147.00497436523438,269.1270751953125,147.27090454101562,64.70985412597656,466.2747497558594,1191.580810546875,68.82215118408203,33.98682403564453,184.78480529785156,150.0592498779297,682.5413208007812,249.91665649414062,1751.2330322265625,71.24046325683594,5742.0
2013-08-31,20.022809982299805,380.0551452636719,159.60073852539062,9.829051971435547,134.39999389648438,512.0704956054688,129.9766387939453,281.4703369140625,133.04808044433594,65.42900085449219,405.05535888671875,1123.749755859375,68.92745208740234,32.82704162597656,180.92828369140625,133.41868591308594,764.3861083984375,213.15023803710938,1406.2591552734375,78.65727233886719,5471.7998046875
2013-09-30,19.916683197021484,414.63433837890625,193.1132049560547,11.156759262084961,134.18504333496094,508.8268127441406,142.89749145507812,273.05572509765625,146.71058654785156,67.26412200927734,440.9460144042969,1227.671142578125,78.85527801513672,33.356170654296875,174.26409912109375,141.8465576171875,724.7608032226562,220.21890258789062,1725.1551513671875,76.94132232666016,5735.2998046875
2013-10-31,29.383298873901367,488.07110595703125,234.28041076660156,12.952083587646484,154.03958129882812,499.0267639160156,181.2719268798828,301.7615966796875,144.38323974609375,74.63926696777344,544.3411254882812,1478.5728759765625,79.73767852783203,34.46179962158203,193.8222198486328,157.81956481933594,795.6141967773438,253.5221405029297,1875.3779296875,77.69766235351562,6299.14990234375
