Date,Futures_Price,USD_Spot_Price,USD_INR,Spot_INR_oz,Spot_INR_10g,Basis,RF,F_theoretical,Arbitrage,Cash_Carry,Reverse_Carry,Spot_Return,Futures_Return,RollingVol
2015-04-02,26548,1202.59,62.067,74641.15353,23997.670207532912,2550.329792467088,9.999999776482581e-05,24037.348439934784,2510.6515600652165,True,False,-0.002462477749171909,0.0014323949827444572,
2015-04-06,26941,1214.7,62.207,75562.8429,24294.0,2647.0,3.0000000260770322e-05,24334.028185667696,2606.9718143323043,True,False,0.012272655328314487,0.014694874534497034,
2015-04-07,26829,1208.6,62.296,75290.94559999999,24206.58305335412,2622.4169466458807,0.00014999999664723872,24246.706350264667,2582.293649735333,True,False,-0.003604783109969645,-0.004165897786021676,
2015-04-08,26682,1202.8,62.192,74804.5376,24050.19936663076,2631.800633369239,0.00017999999225139617,24090.122852080887,2591.8771479191128,True,False,-0.006481336977901717,-0.005494211275539324,
2015-04-09,26452,1195.01,62.306,74456.29306,23938.236230649283,2513.7637693507168,0.00019999999552965163,23978.013272460707,2473.9867275392935,True,False,-0.004666263350538836,-0.008657410944198475,
2015-04-10,26703,1208.05,62.276,75232.5218,24187.799379491054,2515.2006205089456,0.00014999999664723872,24227.89154177505,2475.1084582249496,True,False,0.010371325320390368,0.009444148832488201,
2015-04-13,26616,1198.85,62.407,74816.63195,24054.087787548026,2561.9122124519745,4.999999888241291e-05,24093.76028626121,2522.239713738789,True,False,-0.005543395675399516,-0.003263379928728551,
2015-04-14,26454,1193.58,62.268,74321.83944,23895.008420274244,2558.9915797257563,9.999999776482581e-05,23934.516909604456,2519.4830903955444,True,False,-0.006635368068149356,-0.006105163112320061,
2015-04-15,26644,1202.05,62.36,74959.838,24100.129567412027,2543.8704325879735,0.00014999999664723872,24140.076413775456,2503.923586224544,True,False,0.008547632306810025,0.007156608947077432,
2015-04-16,26533,1197.65,62.317,74633.95505,23995.3558441976,2537.6441558024017,9.999999776482581e-05,24035.030249984407,2497.9697500155926,True,False,-0.004356911591938234,-0.004174743261688571,
2015-04-17,26702,1204.65,62.55,75350.8575,24225.84516212002,2476.1548378799816,0.00013000000268220902,24265.96049740959,2436.039502590411,True,False,0.00955974005008548,0.0063492276786587445,
2015-04-20,26719,1196.5,63.137,75543.42050000001,24287.75555805617,2431.244441943829,0.00013000000268220902,24327.97341015266,2391.026589847341,True,False,0.0025522916718249086,0.0006364538505028519,
2015-04-21,26803,1202.68,62.854,75593.24872,24303.775690838655,2499.2243091613454,0.00019999999552965163,24344.16013238712,2458.839867612882,True,False,0.0006593796470774144,0.003138898732064809,
2015-04-22,26489,1187.3,62.98,74776.154,24041.07383413442,2447.9261658655814,0.00019999999552965163,24081.02175635717,2407.9782436428286,True,False,-0.010867939189778186,-0.011784269073420376,
