Date,ADANIENT.NS,ASIANPAINT.NS,AXISBANK.NS,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,NTPC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS,^NSEI
2013-02-28,-0.13757242304865114,-0.05086494104568551,-0.10696602674137246,-0.008050892509987695,-0.02752512351715175,-0.06519681914862396,-0.12655839239690725,0.04212250064860723,-0.04176784744838602,-0.030499264668938042,-0.11288381058741992,-0.1436834269583288,-0.03946532774452882,-0.03889984145902037,-0.08210690846078017,-0.14647270134096424,0.12859430636711466,-0.06604615780621026,-0.018133445756947197,0.011784486671349903,-0.0566220962446663
2013-03-31,-0.06236969909209855,0.15098802157655244,-0.03232524175566598,-0.10399198269990739,0.0,0.0539442570748454,0.004613795317156777,-0.006071743460108636,0.04969454255297223,-0.010005813954166998,-0.0011696999494956728,-0.05401110527458408,-0.03533791787970131,0.014381749281750178,-0.05031657176916271,-0.003916711991100219,0.03872763766301768,-0.0172480880349275,0.0004817726147556822,0.04983214155014948,-0.0018443541441275357
2013-04-30,0.07863498197726537,-0.04799436050831629,0.1476128278941795,0.06806901831438039,0.09106891178001608,0.25024136768154914,0.11332763514249056,-0.22631385220189926,0.06269192017724134,0.08284820451245256,0.10686551739860706,0.3031532955087757,0.10848851258294401,0.06049135368949643,0.01979577273281019,0.09241388291538977,-0.12524192977892123,0.05577239927213706,0.017068230390175243,-0.2031339218674526,0.043580857033705955
2013-05-31,-0.029344263157891293,0.038846451155788886,-0.04163605743664389,0.20069303796558868,0.026674655847784612,0.014901952307710742,0.008699061079505022,0.0913696374817099,0.049756326804948126,0.10726947487778293,-0.07370058154275749,-0.03833258301294162,-0.0200188121806798,0.009804069307212115,0.03530314743634011,-0.07838863563154785,0.08709351389695463,0.08441058060374407,-0.011863012743889678,-0.05942295279860377,0.009401031696040674
2013-06-30,-0.026688777839148137,-0.03909401165984605,-0.07364279054743539,-0.059496628382371686,-0.03627078408548279,-0.012404969095510476,-0.07250187966867483,0.03613631582941479,-0.04574872366143945,-0.07759123038222038,0.005104535146611466,-0.04225843167287946,-0.06776927514105835,-0.017652240938215824,0.06982526469383332,-0.045413373145577474,0.02220052949963769,-0.2386305215758482,-0.0006921115174012282,0.08068351733728818,-0.024014566661875736
2013-07-31,-0.10706598911316434,0.09479147924590592,-0.208056289246219,-0.1650604837258316,-0.08924573546538739,0.05731207003427152,-0.15101581643272743,0.18840644355388236,0.05349143725062033,-0.09581263594818645,-0.09743233943260521,-0.13750609665585178,-0.09078248595628358,-0.09164425541667798,0.010955247200351792,-0.12560142069231273,0.19856518458497852,0.18840739339549306,-0.016921090621955126,0.25501427504261276,-0.017151106083782564
2013-08-31,-0.19142877697132443,-0.1707052481448882,-0.19486748898057182,-0.10240844185663922,-0.0258302085121368,0.03085469668025298,-0.11583509772249001,0.04586406518107533,-0.0965759267997065,0.01111340364197999,-0.13129467315396126,-0.05692526607269632,0.0015300437651049048,-0.03412447154378462,-0.02087033942119343,-0.11089329033951945,0.11991184284877154,-0.14711471805358944,-0.19698913314495692,0.10410950101899519,-0.04705680865769768
2013-09-30,-0.005300294282977069,0.09098467300381974,0.20997688820426497,0.13507989320922276,-0.0015993346077752824,-0.0063344459193901415,0.09940903827815184,-0.02989519929048645,0.10268848718363643,0.02804751915540149,0.08860679097351642,0.09247733863957763,0.14403297419358485,0.01611869367788543,-0.0368332934704616,0.06316860075800634,-0.05183938423319234,0.03316282738352183,0.2267690097503705,-0.021815529081843366,0.048156001572694285
2013-10-31,0.475310852878134,0.17711212212968253,0.2131765449178631,0.16091808413064346,0.14796386743569534,-0.019260087288389127,0.26854520001751214,0.10512825384549185,-0.015863523257053536,0.10964455846876109,0.23448473896213273,0.20437210316073795,0.011190126202153872,0.03314615993376124,0.11223264473968553,0.11260764780246602,0.09776107267340772,0.15122788063911785,0.08707783656516965,0.009830088747946997,0.09831222723447008
2013-11-30,0.26727672034663885,-0.06636374879838913,-0.05459227978791703,0.0424967698098937,-0.028642897204575135,-0.024759742000252105,-0.04665678493736913,0.013489414169967961,-0.04358211005780832,0.005781081246285735,0.07420161608165521,0.024416244120005537,-0.012407743017977424,-0.06120420803559545,-0.06723512916879126,0.012633929309515235,-0.050993134588019684,-0.1427770508835271,-0.03002252931310201,-0.014444439643880203,-0.019534350919592547
